time,angle,time,speed,time,accelerator position,time,brake position
122.061449984,-4.8,124.132940032,48.74375,,,,
122.071450112,-4.8,124.152440064,48.74375,,,,
122.081460224,-4.8,124.172440064,48.675,,,,
122.091450112,-4.8,124.19243008,48.60625,,,,
122.101459968,-4.8,124.212560128,48.88125,,,,
122.111450112,-4.8,124.232440064,48.95,,,,
122.121449984,-4.8,124.252440064,48.88125,,,,
122.131450112,-4.8,124.27243008,48.95,,,,
122.141449984,-4.8,124.292440064,48.95,,,,
122.151460096,-4.8,124.31243008,49.01875,,,,
122.161460224,-4.8,124.332930048,48.88125,,,,
122.171450112,-4.8,124.352560128,48.88125,,,,
122.181459968,-4.8,124.372680192,48.8125,,,,
122.191450112,-4.8,124.39243008,48.88125,,,,
122.201449984,-4.8,124.412930048,48.88125,,,,
122.211450112,-4.8,124.43243008,48.95,,,,
122.221459968,-4.8,124.452440064,49.0875,,,,
122.231460096,-4.8,124.47243008,49.0875,,,,
122.241449984,-4.8,124.492560128,48.95,,,,
122.251460096,-4.8,124.512440064,48.88125,,,,
122.261449984,-4.8,124.53243008,48.88125,,,,
122.271450112,-4.8,124.55243008,49.01875,,,,
122.281449984,-4.8,124.57243008,49.0875,,,,
122.291450112,-4.8,124.592440064,49.01875,,,,
122.301449984,-4.8,124.612680192,49.0875,,,,
122.311460096,-4.8,124.632560128,49.15625,,,,
122.321449984,-4.8,124.652680192,49.15625,,,,
122.331450112,-4.8,124.67243008,49.01875,,,,
122.341449984,-4.8,124.692930048,49.01875,,,,
122.351460096,-4.8,124.71243008,49.15625,,,,
122.361449984,-4.8,124.73243008,49.15625,,,,
122.371450112,-4.8,124.75243008,49.15625,,,,
122.381459968,-4.8,124.77243008,49.225,,,,
122.391450112,-4.8,124.792300032,49.225,,,,
122.401449984,-4.8,124.81243008,49.15625,,,,
122.411450112,-4.8,124.83243008,49.15625,,,,
122.421449984,-4.8,124.85243008,49.01875,,,,
122.431460096,-4.8,124.87243008,49.0875,,,,
122.441449984,-4.8,124.892930048,49.15625,,,,
122.451460096,-4.8,124.91243008,49.15625,,,,
122.461459968,-4.8,124.932560128,49.15625,,,,
122.471450112,-4.8,124.952310016,49.15625,,,,
122.481449984,-4.8,124.972930048,49.15625,,,,
122.491460096,-4.8,124.99243008,49.15625,,,,
122.501449984,-4.8,125.012680192,49.0875,,,,
122.511450112,-4.8,125.032310016,49.0875,,,,
122.521449984,-4.8,125.052550144,49.15625,,,,
122.531450112,-4.8,125.07243008,49.15625,,,,
122.541449984,-4.8,125.092300032,49.225,,,,
122.551450112,-4.9,125.112300032,49.225,,,,
122.561449984,-4.9,125.132680192,49.225,,,,
122.571450112,-4.9,125.15243008,49.15625,,,,
122.581459968,-4.9,125.172680192,49.15625,,,,
122.591460096,-4.9,125.192310016,49.0875,,,,
122.601460224,-5,125.2128,49.15625,,,,
122.611440128,-5.1,125.232310016,49.225,,,,
122.621449984,-5.1,125.252300032,49.3625,,,,
122.631450112,-5.1,125.272300032,49.3625,,,,
122.641449984,-5.1,125.29243008,49.3625,,,,
122.651450112,-5.1,125.312300032,49.225,,,,
122.661449984,-5.1,125.332300032,49.15625,,,,
122.671460096,-5.1,125.35243008,49.15625,,,,
122.681449984,-5.1,125.372300032,49.29375,,,,
122.691450112,-5.1,125.392300032,49.3625,,,,
122.701459968,-5.2,125.412670208,49.3625,,,,
122.711440128,-5.2,125.43243008,49.43125,,,,
122.72144,-5.2,125.452300032,49.5,,,,
122.731450112,-5.2,125.472300032,49.43125,,,,
122.741449984,-5.2,125.492310016,49.43125,,,,
122.751440128,-5.2,125.512300032,49.3625,,,,
122.761449984,-5.2,125.532550144,49.5,,,,
122.771450112,-5.2,125.552300032,49.5,,,,
122.781449984,-5.2,125.57243008,49.56875,,,,
122.791450112,-5.2,125.592300032,49.6375,,,,
122.801449984,-5.2,125.612300032,49.6375,,,,
122.811440128,-5.2,125.63243008,49.56875,,,,
122.82144,-5.2,125.652680192,49.56875,,,,
122.831450112,-5.2,125.672300032,49.5,,,,
122.841449984,-5.2,125.692550144,49.5,,,,
122.851440128,-5.2,125.712420096,49.6375,,,,
122.86144,-5.2,125.732300032,49.6375,,,,
122.871450112,-5.3,125.752300032,49.775,,,,
122.881449984,-5.4,125.772930048,49.775,,,,
122.891450112,-5.4,125.792300032,49.70625,,,,
122.901459968,-5.5,125.812420096,49.6375,,,,
122.911440128,-5.5,125.832300032,49.6375,,,,
122.92144,-5.7,125.85243008,49.775,,,,
122.931450112,-5.7,125.872300032,49.775,,,,
122.941449984,-5.8,125.892300032,49.775,,,,
122.951450112,-5.8,125.912300032,49.84375,,,,
122.96144,-5.8,125.932300032,49.84375,,,,
122.971450112,-5.8,125.952300032,49.775,,,,
122.981470208,-5.8,125.972550144,49.775,,,,
122.991450112,-5.8,125.992300032,49.775,,,,
123.001449984,-5.8,126.012550144,49.775,,,,
123.011440128,-5.8,126.032300032,49.9125,,,,
123.021570048,-5.8,126.052550144,49.9125,,,,
123.031450112,-5.8,126.072310016,49.98125,,,,
123.041449984,-5.8,126.092550144,49.98125,,,,
123.051570176,-5.9,126.112290048,49.98125,,,,
123.061570048,-5.9,126.132420096,49.9125,,,,
123.071570176,-5.9,126.152300032,49.84375,,,,
123.081570048,-5.9,126.172550144,49.84375,,,,
123.09158016,-6,126.192290048,49.98125,,,,
123.101570048,-6,126.21254016,50.05,,,,
123.111570176,-6,126.232300032,50.11875,,,,
123.121570048,-6,126.252550144,50.11875,,,,
123.131570176,-6,126.272300032,50.11875,,,,
123.141570048,-6,126.292420096,49.98125,,,,
123.151570176,-6.1,126.312290048,49.98125,,,,
123.161570048,-6.1,126.332420096,50.05,,,,
123.17158016,-6.1,126.352300032,50.11875,,,,
123.181570048,-6.2,126.372550144,50.11875,,,,
123.191570176,-6.2,126.392300032,50.11875,,,,
123.201570048,-6.2,126.41254016,50.25625,,,,
123.211570176,-6.2,126.432300032,50.1875,,,,
123.221570048,-6.2,126.452420096,50.11875,,,,
123.231570176,-6.2,126.472300032,50.11875,,,,
123.241570048,-6.2,126.492420096,50.11875,,,,
123.25158016,-6.2,126.512290048,50.25625,,,,
123.261570048,-6.2,126.53254016,50.1875,,,,
123.271570176,-6.2,126.552290048,50.325,,,,
123.281570048,-6.2,126.572310016,50.25625,,,,
123.291570176,-6.2,126.592290048,50.325,,,,
123.301570048,-6.2,126.612420096,50.25625,,,,
123.311570176,-6.2,126.632290048,50.1875,,,,
123.321570048,-6.2,126.652420096,50.25625,,,,
123.331570176,-6.2,126.672290048,50.39375,,,,
123.341570048,-6.2,126.692550144,50.4625,,,,
123.35158016,-6.2,126.712290048,50.6,,,,
123.361570048,-6.2,126.732790016,50.53125,,,,
123.371570176,-6.3,126.752290048,50.6,,,,
123.381580032,-6.3,126.772420096,50.6,,,,
123.39158016,-6.4,126.792290048,50.6,,,,
123.401570048,-6.5,126.812290048,50.66875,,,,
123.411560192,-6.5,126.832290048,50.80625,,,,
123.421570048,-6.6,126.852290048,50.875,,,,
123.431570176,-6.7,126.872290048,50.875,,,,
123.441570048,-6.7,126.892290048,50.875,,,,
123.451570176,-6.7,126.912290048,50.875,,,,
123.461570048,-6.7,126.932420096,50.875,,,,
123.471570176,-6.7,126.952300032,50.80625,,,,
123.481570048,-6.7,126.972420096,50.7375,,,,
123.49158016,-6.7,126.992300032,51.0125,,,,
123.501570048,-6.7,127.012660224,51.0125,,,,
123.511560192,-6.8,127.032290048,51.0125,,,,
123.521570048,-6.8,127.052290048,51.0125,,,,
123.531570176,-6.9,127.072290048,51.0125,,,,
123.541570048,-6.9,127.092290048,51.0125,,,,
123.551570176,-6.9,127.112290048,51.0125,,,,
123.561570048,-6.9,127.132290048,51.0125,,,,
123.571570176,-7,127.152290048,51.15,,,,
123.581570048,-7,127.172290048,51.21875,,,,
123.591570176,-7.1,127.192290048,51.35625,,,,
123.601590016,-7.2,127.212290048,51.35625,,,,
123.611560192,-7.2,127.232290048,51.35625,,,,
123.621570048,-7.3,127.252420096,51.35625,,,,
123.631570176,-7.3,127.272290048,51.35625,,,,
123.641570048,-7.4,127.29254016,51.35625,,,,
123.651570176,-7.5,127.312290048,51.49375,,,,
123.661570048,-7.6,127.332290048,51.5625,,,,
123.671570176,-7.7,127.352290048,51.63125,,,,
123.681570048,-7.8,127.372290048,51.63125,,,,
123.69158016,-8,127.392290048,51.63125,,,,
123.701570048,-8.1,127.412290048,51.5625,,,,
123.711560192,-8.2,127.432290048,51.49375,,,,
123.721560064,-8.3,127.452290048,51.63125,,,,
123.731570176,-8.3,127.472290048,51.7,,,,
123.741560064,-8.3,127.492410112,51.76875,,,,
123.751570176,-8.3,127.512410112,51.8375,,,,
123.761570048,-8.3,127.532290048,51.8375,,,,
123.771570176,-8.3,127.552300032,51.8375,,,,
123.781609984,-8.3,127.57254016,51.8375,,,,
123.791560192,-8.3,127.592300032,51.76875,,,,
123.801570048,-8.3,127.612290048,51.975,,,,
123.811560192,-8.3,127.632290048,51.975,,,,
123.821560064,-8.3,127.652410112,52.1125,,,,
123.831570176,-8.3,127.672290048,52.04375,,,,
123.841570048,-8.3,127.692280064,52.04375,,,,
123.851560192,-8.3,127.712410112,52.04375,,,,
123.861560064,-8.3,127.73254016,52.04375,,,,
123.871570176,-8.3,127.752290048,51.975,,,,
123.881580032,-8.3,127.772410112,52.1125,,,,
123.891570176,-8.4,127.792410112,52.18125,,,,
123.901560064,-8.4,127.812280064,52.25,,,,
123.911560192,-8.4,127.832290048,52.31875,,,,
123.921560064,-8.4,127.85254016,52.25,,,,
123.931560192,-8.4,127.872290048,52.25,,,,
123.941570048,-8.4,127.892300032,52.25,,,,
123.951570176,-8.4,127.912280064,52.25,,,,
123.961560064,-8.4,127.932290048,52.3875,,,,
123.971570176,-8.4,127.952290048,52.525,,,,
123.981580032,-8.4,127.972410112,52.45625,,,,
123.991570176,-8.4,127.99216,52.45625,,,,
124.001570048,-8.5,128.012530176,52.45625,,,,
124.011560192,-8.6,128.032290048,52.45625,,,,
124.021570048,-8.7,128.052410112,52.3875,,,,
